;Libellé commune ou ARM;Région;Département;Hypermarché;Supermarché;Grande surface de bricolage;Supérette;Epicerie;Boulangerie;Boucherie charcuterie;Produits surgelés;Poissonnerie;Librairie papeterie journaux;Magasin de vêtements;Magasin d'équipements du foyer;Magasin de chaussures;Magasin d'électroménager et de matériel audio-vidéo;Magasin de meubles;Magasin d'articles de sports et de loisirs;Magasin de revêtements murs et sols;Droguerie quincaillerie bricolage;Parfumerie - Cosmétique;Horlogerie Bijouterie;Fleuriste - Jardinerie - Animalerie;Magasin d'optique;Magasin de matériel médical et orthopédique;Station service
0;LIBGEO;REG;DEP;NB_B101;NB_B102;NB_B103;NB_B201;NB_B202;NB_B203;NB_B204;NB_B205;NB_B206;NB_B301;NB_B302;NB_B303;NB_B304;NB_B305;NB_B306;NB_B307;NB_B308;NB_B309;NB_B310;NB_B311;NB_B312;NB_B313;NB_B315;NB_B316
1;L'Abergement-Clémenciat;84;01;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;L'Abergement-de-Varey;84;01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;Ambérieu-en-Bugey;84;01;0;6;3;1;6;9;9;1;0;3;33;8;5;5;6;7;0;2;5;3;6;8;3;3
4;Ambérieux-en-Dombes;84;01;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1
5;Ambléon;84;01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6;Ambronay;84;01;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0
7;Ambutrix;84;01;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;1;0
8;Andert-et-Condon;84;01;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
9;Anglefort;84;01;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
10;Apremont;84;01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11;Aranc;84;01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12;Arandas;84;01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13;Arbent;84;01;1;1;1;0;1;1;0;2;0;2;10;3;2;3;4;1;0;2;1;3;1;4;0;2
14;Arboys en Bugey;84;01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15;Arbigny;84;01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16;Argis;84;01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
