Prise en compte;Code INSEE Commune Nouvelle;Nom Commune Nouvelle Siège;Code INSEE Commune Déléguée (non actif);Nom Commune Déléguée;Adresse 2016 - Code INSEE;Adresse 2016 - L6 Code Postal;Adresse 2016 - L6 Libellé Acheminement;Adresse 2016 - Ligne 5 Commune déléguée;Adresse 2016 - Code INSEE associé à la L5;Adresse 2015 - Code INSEE;Adresse 2015 - L6 Code Postal;Adresse 2015 - Libellé Acheminement;Adresse 2015 - L5;Adresse 2015 - Code INSEE Associé à la L5
DÉCEMBRE 2016;01015;Arboys en Bugey;01015;Arbignieu;01015;01300;ARBOYS EN BUGEY;ARBIGNIEU;;01015;01300;ARBIGNIEU;;
DÉCEMBRE 2016;01015;Arboys en Bugey;01340;Saint-Bois;01015;01300;ARBOYS EN BUGEY;ST BOIS;01340;01340;01300;ST BOIS;;
OCTOBRE 2018;01025;Bâgé-Dommartin;01025;Bâgé-la-Ville;01025;01380;BAGE DOMMARTIN;BAGE LA VILLE;;01025;01380;BAGE LA VILLE;;
DÉCEMBRE 2018;01033;Valserhône;01091;Châtillon-en-Michaille;01033;01200;VALSERHONE;CHATILLON EN MICHAILLE;01091;01091;01200;CHATILLON EN MICHAILLE;;
JUILLET 2019;01036;Valromey-sur-Séran;01221;Lompnieu;01036;01260;VALROMEY SUR SERAN;LOMPNIEU;01221;01221;01260;LOMPNIEU;;
JUILLET 2019;01036;Valromey-sur-Séran;01414;Sutrieu;01036;01260;VALROMEY SUR SERAN;FITIGNIEU;01161;01414;01260;SUTRIEU;FITIGNIEU;01161
DÉCEMBRE 2016;01095;Nivigne et Suran;01172;Germagnat;01095;01250;NIVIGNE ET SURAN;GERMAGNAT;01172;01172;01250;GERMAGNAT;;
DÉCEMBRE 2016;01098;Chazey-Bons;01098;Chazey-Bons;01098;01300;CHAZEY BONS;;;01098;01300;CHAZEY BONS;;
JUILLET 2019;01130;Bresse Vallons;01130;Cras-sur-Reyssouze;01130;01340;BRESSE VALLONS;CRAS SUR REYSSOUZE;;01130;01340;CRAS SUR REYSSOUZE;;
DÉCEMBRE 2016;01187;Haut Valromey;01176;Grand-Abergement (Le);01187;01260;HAUT VALROMEY;LE GRAND ABERGEMENT;01176;01176;01260;LE GRAND ABERGEMENT;;
DÉCEMBRE 2016;01187;Haut Valromey;01187;Hotonnes;01187;01260;HAUT VALROMEY;HOTONNES;;01187;01260;HOTONNES;;
FÉVRIER 2016;01204;Poizat-Lalleyriat (Le);01300;Poizat (Le);01204;01130;LE POIZAT LALLEYRIAT;LE POIZAT;01300;01300;01130;LE POIZAT;;
FÉVRIER 2016;01286;Parves et Nattages;01286;Parves;01286;01300;PARVES ET NATTAGES;PARVES;;01286;01300;PARVES;;
FÉVRIER 2016;01338;Groslée-Saint-Benoit;01338;Saint-Benoît;01338;01300;GROSLEE ST BENOIT;ST BENOIT;;01338;01300;ST BENOIT;;
JUILLET 2019;01453;Arvière-en-Valromey;01059;Brénaz;01453;01260;ARVIERE EN VALROMEY;BRENAZ;01059;01059;01260;BRENAZ;;
DÉCEMBRE 2016;02439;Septvallons (Les);02439;Longueval-Barbonval;02439;02160;LES SEPTVALLONS;LONGUEVAL BARBONVAL;;02439;02160;LONGUEVAL BARBONVAL;;
DÉCEMBRE 2016;02439;Septvallons (Les);02811;Villers-en-Prayères;02439;02160;LES SEPTVALLONS;VILLERS EN PRAYERES;02811;02811;02160;VILLERS EN PRAYERES;;
JUIN 2017;05024;Valdoule;05024;Bruis;05024;05150;VALDOULE;BRUIS;;05024;05150;BRUIS;;
MAI 2018;05039;Aubessagne;05141;Saint-Eusèbe-en-Champsaur;05039;05500;AUBESSAGNE;ST EUSEBE EN CHAMPSAUR;05141;05141;05500;ST EUSEBE EN CHAMPSAUR;;
DÉCEMBRE 2016;05053;Garde-Colombe;05143;Saint-Genis;05053;05300;GARDE COLOMBE;ST GENIS;05143;05143;05300;ST GENIS;;
FÉVRIER 2016;08115;Chémery-Chéhéry;08115;Chémery-sur-Bar;08115;08450;CHEMERY CHEHERY;CONNAGE;08129;08115;08450;CHEMERY SUR BAR;CONNAGE;08129
FÉVRIER 2016;08145;Douzy;08145;Douzy;08145;08140;DOUZY;;;08145;08140;DOUZY;;
FÉVRIER 2016;08145;Douzy;08267;Mairy;08145;08140;DOUZY;MAIRY;08267;08267;08140;MAIRY;;
OCTOBRE 2019;08173;Flize;08173;Flize;08173;08160;FLIZE;;;08173;08160;FLIZE;;
FÉVRIER 2016;08198;Grandpré;08198;Grandpré;08198;08250;GRANDPRE;;;08198;08250;GRANDPRE;;
JUILLET 2016;08490;Vouziers;08443;Terron-sur-Aisne;08490;08400;VOUZIERS;TERRON SUR AISNE;08443;08443;08400;TERRON SUR AISNE;;
JUILLET 2016;08490;Vouziers;08496;Vrizy;08490;08400;VOUZIERS;VRIZY;08493;08493;08400;VRIZY;;
DÉCEMBRE 2016;08491;Vrigne-aux-Bois;08491;Vrigne-aux-Bois;08491;08330;VRIGNE AUX BOIS;;;08491;08330;VRIGNE AUX BOIS;;
DÉCEMBRE 2018;09334;Val-de-Sos;09135;Goulier;09334;09220;VAL DE SOS;GOULIER;09135;09135;09220;GOULIER;;
DÉCEMBRE 2018;09334;Val-de-Sos;09286;Sem;09334;09220;VAL DE SOS;SEM;09286;09286;09220;SEM;;
DÉCEMBRE 2018;09334;Val-de-Sos;09302;Suc-et-Sentenac;09334;09220;VAL DE SOS;SUC ET SENTENAC;09302;09302;09220;SUC ET SENTENAC;;
JUILLET 2019;11131;Val-du-Faby;11131;Fa;11131;11260;VAL DU FABY;FA;;11131;11260;FA;;
FÉVRIER 2016;11304;Quillan;11050;Brenac;11304;11500;QUILLAN;BRENAC;11050;11050;11500;BRENAC;;
FÉVRIER 2016;11304;Quillan;11304;Quillan;11304;11500;QUILLAN;;;11304;11500;QUILLAN;;
FÉVRIER 2016;12076;Conques-en-Rouergue;12173;Noailhac;12076;12320;CONQUES EN ROUERGUE;NOAILHAC;12173;12173;12320;NOAILHAC;;
OCTOBRE 2017;12090;Druelle Balsac;12090;Druelle;12090;12000;DRUELLE BALSAC;AMPIAC;;12090;12000;DRUELLE;AMPIAC;
FÉVRIER 2016;12177;Palmas d'Aveyron;12087;Cruéjouls;12177;12340;PALMAS D AVEYRON;CRUEJOULS;12087;12087;12340;CRUEJOULS;;
DÉCEMBRE 2016;12223;Argences en Aubrac;12112;Graissac;12223;12420;ARGENCES EN AUBRAC;GRAISSAC;12112;12112;12420;GRAISSAC;;
FÉVRIER 2016;12224;Saint Geniez d'Olt et d'Aubrac;12014;Aurelle-Verlac;12224;12130;ST GENIEZ D OLT ET D AUBRAC;AURELLE VERLAC;12014;12014;12130;AURELLE VERLAC;;
DÉCEMBRE 2016;14005;Valambray;14074;Billy;14005;14370;VALAMBRAY;BILLY;14074;14074;14370;BILLY;;
FÉVRIER 2016;14014;Colomby-Anguerny;14014;Anguerny;14014;14610;COLOMBY ANGUERNY;ANGUERNY;;14014;14610;ANGUERNY;;
DÉCEMBRE 2016;14027;Monts d'Aunay (Les);14056;Bauquay;14027;14260;LES MONTS D AUNAY;BAUQUAY;14056;14056;14260;BAUQUAY;;
DÉCEMBRE 2016;14027;Monts d'Aunay (Les);14128;Campandré-Valcongrain;14027;14260;LES MONTS D AUNAY;CAMPANDRE VALCONGRAIN;14128;14128;14260;CAMPANDRE VALCONGRAIN;;
DÉCEMBRE 2016;14027;Monts d'Aunay (Les);14477;Ondefontaine;14027;14260;LES MONTS D AUNAY;ONDEFONTAINE;14477;14477;14260;ONDEFONTAINE;;
DÉCEMBRE 2016;14027;Monts d'Aunay (Les);14544;Roucamps;14027;14260;LES MONTS D AUNAY;ROUCAMPS;14544;14544;14260;ROUCAMPS;;
FÉVRIER 2016;14035;Balleroy-sur-Drôme;14035;Balleroy;14035;14490;BALLEROY SUR DROME;BALLEROY;;14035;14490;BALLEROY;;
FÉVRIER 2016;14061;Souleuvre en Bocage;14052;Beaulieu;14061;14350;SOULEUVRE EN BOCAGE;BEAULIEU;14052;14052;14350;BEAULIEU;;
FÉVRIER 2016;14061;Souleuvre en Bocage;14264;Ferrière-Harang (La);14061;14350;SOULEUVRE EN BOCAGE;LA FERRIERE HARANG;14264;14264;14350;LA FERRIERE HARANG;;
FÉVRIER 2016;14061;Souleuvre en Bocage;14395;Malloué;14061;14350;SOULEUVRE EN BOCAGE;MALLOUE;14395;14395;14350;MALLOUE;;
FÉVRIER 2016;14061;Souleuvre en Bocage;14440;Montamy;14061;14260;SOULEUVRE EN BOCAGE;MONTAMY;14440;14440;14260;MONTAMY;;
FÉVRIER 2016;14061;Souleuvre en Bocage;14629;Saint-Martin-des-Besaces;14061;14350;SOULEUVRE EN BOCAGE;LA FERRIERE AU DOYEN;14262;14629;14350;ST MARTIN DES BESACES;LA FERRIERE AU DOYEN;14262
DÉCEMBRE 2018;14126;Cambremer;14126;Cambremer;14126;14340;CAMBREMER;ST AUBIN SUR ALGOT;14561;14126;14340;CAMBREMER;ST AUBIN SUR ALGOT;14561
DÉCEMBRE 2018;14126;Cambremer;14126;Cambremer;14126;14340;CAMBREMER;;;14126;14340;CAMBREMER;;
DÉCEMBRE 2016;14143;Caumont-sur-Aure;14722;La Vacquerie;14143;14240;CAUMONT SUR AURE;LA VACQUERIE;14722;14722;14240;LA VACQUERIE;;
DÉCEMBRE 2018;14150;Cesny-les-Sources;14013;Angoville;14150;14220;CESNY LES SOURCES;ANGOVILLE;14013;14013;14220;ANGOVILLE;;
DÉCEMBRE 2018;14150;Cesny-les-Sources;14150;Cesny-Bois-Halbout;14150;14220;CESNY LES SOURCES;CESNY BOIS HALBOUT;;14150;14220;CESNY BOIS HALBOUT;;
DÉCEMBRE 2018;14150;Cesny-les-Sources;14703;Tournebu;14150;14220;CESNY LES SOURCES;TOURNEBU;14703;14703;14220;TOURNEBU;;
DÉCEMBRE 2016;14172;Saline;14172;Troarn;14172;14670;SALINE;TROARN;;14712;14670;TROARN;;
FÉVRIER 2016;14174;Condé-en-Normandie;14653;Saint-Pierre-la-Vieille;14174;14770;CONDE EN NORMANDIE;ST PIERRE LA VIEILLE;14653;14653;14770;ST PIERRE LA VIEILLE;;
DÉCEMBRE 2016;14200;Creully sur Seulles;14577;Saint-Gabriel-Brécy;14200;14480;CREULLY SUR SEULLES;ST GABRIEL BRECY;14577;14577;14480;ST GABRIEL BRECY;;
DÉCEMBRE 2016;14281;Formigny La Bataille;14004;Aignerville;14281;14710;FORMIGNY LA BATAILLE;AIGNERVILLE;14004;14004;14710;AIGNERVILLE;;
DÉCEMBRE 2016;14342;Isigny-sur-Mer;14462;Neuilly-la-Forêt;14342;14230;ISIGNY SUR MER;NEUILLY LA FORET;14462;14462;14230;NEUILLY LA FORET;;
DÉCEMBRE 2016;14347;Dialan sur Chaîne;14347;Jurques;14347;14260;DIALAN SUR CHAINE;JURQUES;;14347;14260;JURQUES;;
DÉCEMBRE 2016;14355;Ponts sur Seulles;14008;Amblie;14355;14480;PONTS SUR SEULLES;AMBLIE;14008;14008;14480;AMBLIE;;
OCTOBRE 2017;14357;Terres de Druance;14357;Lassy;14357;14770;TERRES DE DRUANCE;LASSY;;14357;14770;LASSY;;
OCTOBRE 2017;14357;Terres de Druance;14662;Saint-Vigor-des-Mézerets;14357;14770;TERRES DE DRUANCE;ST VIGOR DES MEZERETS;14662;14662;14770;ST VIGOR DES MEZERETS;;
FÉVRIER 2016;14371;Livarot-Pays-d'Auge;14148;Cerqueux;14371;14290;LIVAROT PAYS D AUGE;CERQUEUX;14148;14148;14290;CERQUEUX;;
FÉVRIER 2016;14371;Livarot-Pays-d'Auge;14210;Croupte (La);14371;14140;LIVAROT PAYS D AUGE;LA CROUPTE;14210;14210;14140;LA CROUPTE;;
FÉVRIER 2016;14371;Livarot-Pays-d'Auge;14418;Mesnil-Durand (Le);14371;14140;LIVAROT PAYS D AUGE;LE MESNIL DURAND;14418;14418;14140;LE MESNIL DURAND;;
FÉVRIER 2016;14371;Livarot-Pays-d'Auge;14429;Meulles;14371;14290;LIVAROT PAYS D AUGE;MEULLES;14429;14429;14290;MEULLES;;
DÉCEMBRE 2016;14406;Moulins en Bessin;14212;Cully;14406;14480;MOULINS EN BESSIN;CULLY;14212;14212;14480;CULLY;;
DÉCEMBRE 2016;14431;Mézidon Vallée d'Auge;14422;Mesnil-Mauger (Le);14431;14270;MEZIDON VALLEE D AUGE;ST CRESPIN;14567;14422;14270;LE MESNIL MAUGER;ST CRESPIN;14567
DÉCEMBRE 2016;14431;Mézidon Vallée d'Auge;14422;Mesnil-Mauger (Le);14431;14270;MEZIDON VALLEE D AUGE;LE MESNIL MAUGER;14422;14422;14270;LE MESNIL MAUGER;;
DÉCEMBRE 2016;14431;Mézidon Vallée d'Auge;14431;Mézidon-Canon;14431;14270;MEZIDON VALLEE D AUGE;CANON;14133;14431;14270;MEZIDON CANON;CANON;14133
DÉCEMBRE 2016;14431;Mézidon Vallée d'Auge;14431;Mézidon-Canon;14431;14270;MEZIDON VALLEE D AUGE;MEZIDON CANON;;14431;14270;MEZIDON CANON;;
DÉCEMBRE 2016;14431;Mézidon Vallée d'Auge;14444;Monteille;14431;14270;MEZIDON VALLEE D AUGE;MONTEILLE;14444;14444;14270;MONTEILLE;;
DÉCEMBRE 2016;14431;Mézidon Vallée d'Auge;14493;Percy-en-Auge;14431;14270;MEZIDON VALLEE D AUGE;PERCY EN AUGE;14493;14493;14270;PERCY EN AUGE;;
DÉCEMBRE 2016;14475;Val d’Arry;14702;Tournay-sur-Odon;14475;14310;VAL D ARRY;TOURNAY SUR ODON;14702;14702;14310;TOURNAY SUR ODON;;
JUILLET 2019;14514;Pont-l'Évêque;14514;Pont-l'Évêque;14514;14130;PONT L EVEQUE;;;14514;14130;PONT L EVEQUE;;
DÉCEMBRE 2016;14527;Belle Vie en Auge;14527;Biéville-Quétiéville;14527;14270;BELLE VIE EN AUGE;QUETIEVILLE;;14527;14270;BIEVILLE QUETIEVILLE;QUETIEVILLE;
DÉCEMBRE 2016;14527;Belle Vie en Auge;14527;Biéville-Quétiéville;14527;14270;BELLE VIE EN AUGE;BIEVILLE QUETIEVILLE;;14527;14270;BIEVILLE QUETIEVILLE;;
